# time  ID  size  fromHost  toHost  TTL  isResponse
2775.0000 M555 1000000 S142 S243 400 N 
2780.0000 M556 1000000 S76 S175 400 N 
2785.0000 M557 1000000 S129 S411 400 N 
2790.0000 M558 1000000 S64 S341 400 N 
2795.0000 M559 1000000 S198 S182 400 N 
2800.0000 M560 1000000 S95 S227 400 N 
2805.0000 M561 1000000 S36 S291 400 N 
2810.0000 M562 1000000 S261 S234 400 N 
2815.0000 M563 1000000 S16 S289 400 N 
2820.0000 M564 1000000 S113 S17 400 N 
2825.0000 M565 1000000 S296 S171 400 N 
2830.0000 M566 1000000 S317 S93 400 N 
2835.0000 M567 1000000 S421 S165 400 N 
2840.0000 M568 1000000 S40 S73 400 N 
2845.0000 M569 1000000 S99 S290 400 N 
2850.0000 M570 1000000 S228 S82 400 N 
2855.0000 M571 1000000 S92 S191 400 N 
2860.0000 M572 1000000 S379 S274 400 N 
2865.0000 M573 1000000 S128 S95 400 N 
2870.0000 M574 1000000 S220 S199 400 N 
2875.0000 M575 1000000 S225 S419 400 N 
2880.0000 M576 1000000 S244 S142 400 N 
2885.0000 M577 1000000 S219 S53 400 N 
2890.0000 M578 1000000 S72 S17 400 N 
2895.0000 M579 1000000 S353 S306 400 N 
2900.0000 M580 1000000 S271 S347 400 N 
2905.0000 M581 1000000 S370 S51 400 N 
2910.0000 M582 1000000 S236 S52 400 N 
2915.0000 M583 1000000 S251 S374 400 N 
2920.0000 M584 1000000 S24 S382 400 N 
2925.0000 M585 1000000 S118 S222 400 N 
2930.0000 M586 1000000 S110 S186 400 N 
2935.0000 M587 1000000 S431 S419 400 N 
