# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2801.8000 M793 5000000 2 422.8000 S88 S55 392 N S88->9_307->S55
2838.2000 M503 5000000 3 1329.2000 S189 S154 377 N S189->S172->3_234->S154
2839.6000 M529 5000000 2 1252.6000 S18 S130 379 N S18->3_236->S130
2840.6000 M571 5000000 3 1127.6000 S74 S119 381 N S74->S181->2_227->S119
2840.6000 M406 5000000 4 1622.6000 S201 S130 372 N S201->7_276->S55->3_236->S130
2843.6000 M449 5000000 4 1496.6000 S56 S52 375 N S56->7_276->S55->3_236->S52
2844.6000 M169 5000000 4 2337.6000 S39 S52 361 N S39->7_276->S55->3_236->S52
2863.6000 M539 5000000 3 1246.6000 S156 S47 379 N S156->2_224->2_227->S47
2889.7000 M83 5000000 6 2640.7000 S156 S111 355 N S156->2_225->S116->4_247->S151->4_245->S111
2899.7000 M276 5000000 3 2071.7000 S17 S107 365 N S17->S157->3_236->S107
2908.0000 M969 5000000 1 1.0000 S102 S64 399 N S102->S64
2913.1000 M313 5000000 3 1974.1000 S55 S83 367 N S55->7_275->7_276->S83
2960.3000 M603 5000000 3 1151.3000 S133 S109 380 N S133->S103->4_245->S109
2980.1000 M147 5000000 4 2539.1000 S109 S131 357 N S109->4_245->S161->2_227->S131
2981.1000 M148 5000000 4 2537.1000 S83 S131 357 N S83->7_275->S161->2_227->S131
2982.1000 M103 5000000 5 2673.1000 S103 S131 355 N S103->S133->4_245->S113->2_227->S131
2987.7000 M183 5000000 4 2438.7000 S5 S20 359 N S5->7_277->S207->S211->S20
3023.9000 M843 5000000 3 494.9000 S5 S42 391 N S5->S93->9_307->S42
3026.0000 M549 5000000 3 1379.0000 S172 S88 377 N S172->3_234->7_277->S88
3047.1000 M804 5000000 2 635.1000 S62 S109 389 N S62->4_246->S109
3056.4000 M506 5000000 4 1538.4000 S97 S14 374 N S97->7_277->S113->2_224->S14
3057.4000 M397 5000000 6 1866.4000 S20 S14 368 N S20->9_305->S151->7_277->S113->2_224->S14
3058.4000 M735 5000000 4 853.4000 S5 S14 385 N S5->7_276->S161->2_224->S14
3060.7000 M111 5000000 5 2727.7000 S18 S72 354 N S18->S86->3_234->S8->2_227->S72
3078.9000 M324 5000000 4 2106.9000 S96 S123 364 N S96->7_277->S134->4_245->S123
3079.9000 M775 5000000 3 754.9000 S180 S127 387 N S180->S110->4_245->S127
3091.6000 M307 5000000 3 2170.6000 S192 S187 363 N S192->S72->2_226->S187
3092.6000 M635 5000000 2 1187.6000 S209 S187 380 N S209->2_226->S187
3105.0000 M230 5000000 6 2415.0000 S200 S184 359 N S200->S3->7_276->S104->S55->3_236->S184
3110.0000 M133 5000000 6 2711.0000 S210 S77 354 N S210->3_234->S187->4_245->S113->2_227->S77
3129.1000 M891 5000000 2 456.1000 S90 S33 392 N S90->7_278->S33
3129.4000 M441 5000000 6 1806.4000 S208 S55 369 N S208->4_245->S113->7_276->S112->9_308->S55
3137.1000 M376 5000000 3 2009.1000 S40 S50 366 N S40->S81->7_276->S50
3139.4000 M3 5000000 4 3130.4000 S131 S76 347 N S131->2_224->S31->4_245->S76
3141.5000 M565 5000000 4 1446.5000 S137 S189 375 N S137->2_227->S8->3_236->S189
3142.1000 M65 5000000 4 2947.1000 S206 S34 350 N S206->6T_260->S100->7_276->S34
3142.5000 M473 5000000 3 1723.5000 S61 S189 371 N S61->4_245->3_236->S189
3153.6000 M660 5000000 2 1173.6000 S155 S16 380 N S155->7_277->S16
3168.0000 M716 5000000 2 1020.0000 S143 S202 383 N S143->2_225->S202
3193.0000 M1064 5000000 1 1.0000 S121 S51 399 N S121->S51
3200.9000 M547 5000000 4 1559.9000 S165 S155 374 N S165->2_226->S20->9_307->S155
3201.9000 M129 5000000 7 2814.9000 S123 S142 353 N S123->S127->3_235->S94->9_306->S158->9_307->S142
3205.5000 M386 5000000 4 2047.5000 S102 S63 365 N S102->2_224->S113->4_245->S63
3209.7000 M575 5000000 6 1484.7000 S141 S23 375 N S141->S116->4_247->S151->4_245->3_236->S23
3210.7000 M170 5000000 6 2700.7000 S61 S23 354 N S61->S92->4_246->S132->4_245->3_236->S23
3219.5000 M100 5000000 4 2919.5000 S57 S38 351 N S57->4_246->S161->2_227->S38
3229.4000 M410 5000000 3 1999.4000 S93 S187 366 N S93->3_234->S151->S187
3230.4000 M680 5000000 3 1190.4000 S178 S187 380 N S178->3_234->S151->S187
3231.4000 M963 5000000 3 342.4000 S93 S187 394 N S93->3_234->S151->S187
3234.3000 M424 5000000 4 1962.3000 S156 S49 367 N S156->2_224->S113->4_245->S49
3238.4000 M141 5000000 5 2815.4000 S178 S141 353 N S178->3_235->S121->3_234->4_246->S141
3243.5000 M208 5000000 3 2619.5000 S85 S200 356 N S85->3_234->7_277->S200
3244.5000 M528 5000000 3 1660.5000 S142 S200 372 N S142->S155->7_277->S200
3247.0000 M1082 5000000 1 1.0000 S96 S83 399 N S96->S83
3251.4000 M219 5000000 3 2594.4000 S65 S104 356 N S65->7_275->7_278->S104
3260.4000 M678 5000000 2 1226.4000 S129 S100 379 N S129->9_308->S100
3261.4000 M755 5000000 3 996.4000 S149 S100 383 N S149->S84->9_308->S100
3262.4000 M785 5000000 2 907.4000 S129 S100 384 N S129->9_308->S100
3263.4000 M582 5000000 2 1517.4000 S206 S100 374 N S206->9_308->S100
3263.6000 M942 5000000 3 437.6000 S19 S61 392 N S19->S118->4_247->S61
3278.4000 M200 5000000 3 2678.4000 S171 S40 355 N S171->S71->7_277->S40
3279.8000 M544 5000000 3 1647.8000 S135 S134 372 N S135->S165->2_226->S134
3287.1000 M510 5000000 4 1757.1000 S155 S165 370 N S155->9_306->S187->2_227->S165
3290.4000 M158 5000000 5 2816.4000 S34 S144 353 N S34->S0->7_277->S113->2_224->S144
3290.5000 M949 5000000 2 443.5000 S186 S133 392 N S186->4_246->S133
3347.9000 M784 5000000 5 995.9000 S40 S56 383 N S40->S81->7_278->S3->7_277->S56
3350.5000 M302 5000000 4 2444.5000 S71 S138 359 N S71->7_277->S113->4_245->S138
3375.0000 M282 5000000 4 2529.0000 S16 S89 357 N S16->7_276->S90->3_234->S89
