# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5317.0000 M534 5000000 6 2647.0000 S170 S59 555 N S170->7_279->S90->7_275->S112->9_307->S59
5325.0000 M1064 5000000 1 5.0000 S121 S51 599 N S121->S51
5363.4000 M157 5000000 5 4578.4000 S11 S75 523 N S11->3_236->S94->S47->7_275->S75
5383.5000 M436 5000000 9 3203.5000 S95 S131 546 N S95->S129->9_308->S148->S97->7_279->S134->S113->2_226->S131
5388.5000 M147 5000000 5 4653.5000 S109 S131 522 N S109->4_246->S31->S14->2_226->S131
5415.0000 M1082 5000000 1 5.0000 S96 S83 599 N S96->S83
5433.4000 M595 5000000 5 2458.4000 S39 S59 559 N S39->7_275->S104->S55->9_308->S59
5451.6000 M804 5000000 2 1431.6000 S62 S109 576 N S62->4_247->S109
5452.4000 M290 5000000 4 4002.4000 S45 S114 533 N S45->4_245->S8->2_226->S114
5471.3000 M1006 5000000 3 441.3000 S173 S38 592 N S173->S32->2_224->S38
5472.4000 M843 5000000 2 1257.4000 S5 S42 579 N S5->3_237->S42
5482.9000 M156 5000000 5 4702.9000 S39 S127 521 N S39->7_276->S134->S113->4_246->S127
5531.8000 M891 5000000 2 1076.8000 S90 S33 582 N S90->7_277->S33
5543.7000 M247 5000000 4 4308.7000 S100 S76 528 N S100->3_235->S151->4_246->S76
5545.4000 M90 5000000 7 5095.4000 S14 S0 515 N S14->4_244->S8->4_245->S132->S161->7_275->S0
5548.7000 M145 5000000 5 4823.7000 S150 S76 519 N S150->S176->3_235->S151->4_246->S76
5593.8000 M797 5000000 2 1608.8000 S67 S154 573 N S67->7_277->S154
5604.7000 M962 5000000 2 794.7000 S158 S155 586 N S158->9_308->S155
5618.1000 M693 5000000 3 2153.1000 S0 S3 564 N S0->S34->7_276->S3
5619.6000 M397 5000000 4 3634.6000 S20 S14 539 N S20->S211->S7->2_227->S14
5633.1000 M528 5000000 3 2993.1000 S142 S200 550 N S142->S155->7_276->S200
5643.9000 M380 5000000 3 3743.9000 S89 S141 537 N S89->3_237->4_247->S141
5658.4000 M793 5000000 2 1693.4000 S88 S55 571 N S88->7_277->S55
5665.5000 M785 5000000 3 1740.5000 S129 S100 570 N S129->S185->9_307->S100
5672.5000 M942 5000000 2 962.5000 S19 S61 583 N S19->4_245->S61
5684.7000 M544 5000000 2 2964.7000 S135 S134 550 N S135->2_227->S134
5698.0000 M446 5000000 2 3468.0000 S180 S25 542 N S180->4_246->S25
5750.4000 M644 5000000 5 2530.4000 S50 S7 557 N S50->7_276->S84->S149->9_307->S7
5751.7000 M784 5000000 2 1831.7000 S40 S56 569 N S40->7_276->S56
5754.9000 M766 5000000 2 1924.9000 S57 S138 567 N S57->4_246->S138
5777.2000 M183 5000000 3 4862.2000 S5 S20 518 N S5->S93->9_307->S20
5834.8000 M727 5000000 2 2199.8000 S168 S96 563 N S168->9_308->S96
5865.5000 M856 5000000 2 1585.5000 S111 S187 573 N S111->4_247->S187
5867.2000 M792 5000000 3 1907.2000 S0 S205 568 N S0->S50->7_276->S205
5872.2000 M265 5000000 5 4547.2000 S208 S205 524 N S208->4_245->S113->S134->7_276->S205
5951.7000 M459 5000000 4 3656.7000 S183 S24 539 N S183->7_277->S55->3_237->S24
5955.2000 M759 5000000 2 2160.2000 S44 S113 563 N S44->4_245->S113
5961.7000 M372 5000000 2 4101.7000 S58 S101 531 N S58->3_237->S101
5993.2000 M826 5000000 2 1863.2000 S156 S102 568 N S156->2_225->S102
6026.9000 M207 5000000 5 4991.9000 S5 S140 516 N S5->S93->6T_260->S55->3_237->S140
6135.4000 M488 5000000 2 3695.4000 S22 S18 538 N S22->3_237->S18
6232.3000 M1055 5000000 2 957.3000 S145 S47 584 N S145->9_305->S47
6234.4000 M205 5000000 6 5209.4000 S32 S15 513 N S32->S173->2_226->S132->S161->4_247->S15
6234.4000 M381 5000000 6 4329.4000 S123 S181 527 N S123->S127->4_246->S116->S141->2_225->S181
6239.4000 M408 5000000 4 4199.4000 S112 S74 530 N S112->7_277->S134->2_225->S74
6258.0000 M304 5000000 4 4738.0000 S71 S157 521 N S71->7_277->S33->3_237->S157
6263.0000 M119 5000000 7 5668.0000 S155 S17 505 N S155->S142->6T_260->S117->3_236->S178->3_237->S17
6278.3000 M289 5000000 3 4833.3000 S192 S102 519 N S192->S72->2_224->S102
6286.7000 M18 5000000 6 6196.7000 S197 S208 496 N S197->S136->2_226->S132->S161->4_247->S208
6292.4000 M345 5000000 3 4567.4000 S5 S82 523 N S5->S93->9_306->S82
