# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5054.8000 M938 5000000 2 364.8000 S198 S90 393 N S198->3_237->S90
5058.1000 M304 5000000 6 3538.1000 S71 S157 341 N S71->7_277->S96->9_305->S93->3_236->S157
5063.1000 M751 5000000 3 1308.1000 S101 S17 378 N S101->S24->3_236->S17
5068.1000 M663 5000000 3 1753.1000 S210 S17 370 N S210->S21->3_236->S17
5068.5000 M173 5000000 7 4203.5000 S2 S90 329 N S2->S27->2_225->S211->9_306->S59->3_235->S90
5087.2000 M749 5000000 3 1342.2000 S148 S154 377 N S148->S97->7_276->S154
5133.1000 M572 5000000 4 2273.1000 S67 S64 362 N S67->7_275->S124->2_227->S64
5153.0000 M430 5000000 2 3003.0000 S186 S92 349 N S186->4_245->S92
5157.4000 M7 5000000 6 5122.4000 S207 S196 314 N S207->S211->S20->9_305->S9->3_235->S196
5175.3000 M16 5000000 5 5095.3000 S21 S73 315 N S21->S210->3_234->S8->2_226->S73
5223.1000 M43 5000000 5 5008.1000 S21 S45 316 N S21->S210->3_234->S8->4_245->S45
5244.1000 M529 5000000 3 2599.1000 S18 S130 356 N S18->S86->3_235->S130
5247.4000 M711 5000000 3 1692.4000 S23 S9 371 N S23->S122->3_237->S9
5264.8000 M782 5000000 2 1354.8000 S137 S7 377 N S137->2_226->S7
5299.8000 M186 5000000 2 4369.8000 S65 S83 327 N S65->7_275->S83
5301.8000 M644 5000000 2 2081.8000 S50 S7 365 N S50->7_276->S7
5309.3000 M481 5000000 2 2904.3000 S155 S119 351 N S155->7_276->S119
5325.0000 M1064 5000000 1 5.0000 S121 S51 399 N S121->S51
5331.1000 M375 5000000 2 3456.1000 S112 S124 342 N S112->7_276->S124
5364.1000 M715 5000000 4 1789.1000 S34 S109 370 N S34->7_276->S132->4_246->S109
5399.9000 M195 5000000 7 4424.9000 S75 S186 326 N S75->S97->7_277->S84->7_276->S113->4_246->S186
5415.0000 M1082 5000000 1 5.0000 S96 S83 399 N S96->S83
5451.6000 M804 5000000 2 1431.6000 S62 S109 376 N S62->4_247->S109
5467.4000 M75 5000000 6 5092.4000 S105 S72 315 N S105->9_305->S7->S211->S20->2_226->S72
5477.9000 M324 5000000 6 3857.9000 S96 S123 335 N S96->S83->9_308->S151->S187->4_246->S123
5482.1000 M281 5000000 7 4077.1000 S80 S171 332 N S80->S164->3_236->S206->9_307->S84->7_275->S171
5482.9000 M354 5000000 5 3712.9000 S135 S127 338 N S135->2_226->2_224->S187->4_246->S127
5489.8000 M385 5000000 2 3564.8000 S206 S65 340 N S206->7_276->S65
5545.4000 M90 5000000 4 5095.4000 S14 S0 315 N S14->4_244->S151->7_275->S0
5558.0000 M131 5000000 4 4903.0000 S178 S16 318 N S178->3_235->S206->7_276->S16
5563.0000 M660 5000000 2 2263.0000 S155 S16 362 N S155->7_276->S16
5593.8000 M797 5000000 2 1608.8000 S67 S154 373 N S67->7_277->S154
5604.7000 M962 5000000 2 794.7000 S158 S155 386 N S158->9_308->S155
5612.3000 M680 5000000 2 2212.3000 S178 S187 363 N S178->3_237->S187
5618.1000 M693 5000000 2 2153.1000 S0 S3 364 N S0->7_276->S3
5633.1000 M528 5000000 3 2993.1000 S142 S200 350 N S142->S155->7_276->S200
5638.4000 M554 5000000 2 2868.4000 S127 S49 352 N S127->4_246->S49
5653.8000 M793 5000000 2 1688.8000 S88 S55 371 N S88->7_277->S55
5665.5000 M582 5000000 2 2755.5000 S206 S100 354 N S206->9_307->S100
5670.5000 M785 5000000 2 1745.5000 S129 S100 370 N S129->9_307->S100
5671.9000 M942 5000000 2 961.9000 S19 S61 383 N S19->4_245->S61
5684.0000 M241 5000000 4 4479.0000 S123 S40 325 N S123->3_234->S94->7_276->S40
5684.7000 M544 5000000 2 2964.7000 S135 S134 350 N S135->2_227->S134
5694.0000 M949 5000000 2 949.0000 S186 S133 384 N S186->4_247->S133
5698.0000 M899 5000000 2 1203.0000 S132 S25 379 N S132->4_246->S25
5751.7000 M277 5000000 3 4366.7000 S154 S56 327 N S154->S9->7_276->S56
5754.9000 M766 5000000 2 1924.9000 S57 S138 367 N S57->4_246->S138
5775.4000 M648 5000000 5 2535.4000 S147 S20 357 N S147->7_277->S47->S94->9_307->S20
5779.1000 M615 5000000 3 2704.1000 S154 S22 354 N S154->S9->3_237->S22
5784.1000 M618 5000000 3 2694.1000 S51 S89 355 N S51->S121->3_237->S89
5792.9000 M172 5000000 2 4932.9000 S72 S173 317 N S72->2_226->S173
5803.9000 M862 5000000 2 1493.9000 S73 S137 375 N S73->2_227->S137
5815.5000 M231 5000000 5 4660.5000 S40 S44 322 N S40->S81->7_278->S132->4_246->S44
5834.8000 M108 5000000 5 5294.8000 S135 S96 311 N S135->2_224->2_227->S20->9_308->S96
5839.8000 M727 5000000 2 2204.8000 S168 S96 363 N S168->9_308->S96
5841.5000 M763 5000000 4 2026.5000 S122 S105 366 N S122->3_237->S94->9_307->S105
5865.5000 M410 5000000 3 3815.5000 S93 S187 336 N S93->3_237->4_247->S187
5867.2000 M792 5000000 2 1907.2000 S0 S205 368 N S0->7_276->S205
5900.2000 M1091 5000000 2 445.2000 S144 S209 392 N S144->2_225->S209
5901.4000 M6 5000000 3 5871.4000 S47 S183 302 N S47->S94->7_277->S183
5934.5000 M705 5000000 5 2409.5000 S16 S158 359 N S16->S147->7_277->S94->9_307->S158
5939.5000 M301 5000000 5 4434.5000 S3 S158 326 N S3->S200->7_278->S94->9_307->S158
5979.7000 M299 5000000 3 4484.7000 S93 S31 325 N S93->3_237->4_247->S31
5989.6000 M372 5000000 2 4129.6000 S58 S101 331 N S58->3_237->S101
6010.5000 M126 5000000 4 5380.5000 S136 S175 310 N S136->2_225->S20->9_307->S175
6026.9000 M427 5000000 5 3891.9000 S96 S140 335 N S96->S83->9_308->S59->3_237->S140
6056.5000 M98 5000000 4 5566.5000 S113 S1 307 N S113->2_225->S20->9_307->S1
6061.5000 M350 5000000 2 4311.5000 S94 S1 328 N S94->9_307->S1
6066.5000 M118 5000000 4 5476.5000 S200 S1 308 N S200->7_278->S94->9_307->S1
6087.8000 M607 5000000 4 3052.8000 S152 S95 349 N S152->7_275->S163->9_308->S95
6103.7000 M433 5000000 6 3938.7000 S145 S136 334 N S145->9_307->S112->7_279->S132->2_225->S136
6108.7000 M405 5000000 4 4083.7000 S42 S136 331 N S42->3_234->S8->2_225->S136
6111.7000 M839 5000000 2 1916.7000 S77 S141 368 N S77->2_224->S141
6113.7000 M426 5000000 5 3983.7000 S123 S136 333 N S123->S127->4_246->S8->2_225->S136
6136.9000 M861 5000000 4 1831.9000 S199 S112 369 N S199->4_245->S113->7_277->S112
6202.3000 M337 5000000 2 4517.3000 S197 S141 324 N S197->2_225->S141
6232.3000 M1055 5000000 2 957.3000 S145 S47 384 N S145->9_305->S47
6233.0000 M978 5000000 2 1343.0000 S24 S150 377 N S24->3_237->S150
6234.4000 M205 5000000 4 5209.4000 S32 S15 313 N S32->2_225->S134->4_247->S15
6234.4000 M263 5000000 2 4919.4000 S20 S181 318 N S20->2_225->S181
6239.4000 M628 5000000 3 3099.4000 S136 S74 348 N S136->S197->2_225->S74
6239.4000 M249 5000000 6 4994.4000 S168 S15 316 N S168->7_278->S154->S9->3_237->4_247->S15
6244.4000 M239 5000000 4 5049.4000 S98 S28 315 N S98->2_225->S134->4_247->S28
6260.5000 M612 5000000 4 3200.5000 S32 S110 346 N S32->2_227->S14->4_245->S110
6265.5000 M599 5000000 5 3270.5000 S165 S110 345 N S165->S135->2_227->S14->4_245->S110
6270.5000 M815 5000000 5 2195.5000 S38 S180 363 N S38->S143->2_227->S14->4_245->S180
6292.4000 M345 5000000 2 4567.4000 S5 S82 323 N S5->9_306->S82
6332.1000 M139 5000000 5 5637.1000 S174 S163 306 N S174->S208->4_245->S113->7_277->S163
6347.2000 M568 5000000 3 3507.2000 S58 S61 341 N S58->3_237->4_247->S61
6350.8000 M930 5000000 4 1700.8000 S25 S99 371 N S25->4_247->S116->2_225->S99
6352.2000 M945 5000000 2 1627.2000 S138 S92 372 N S138->4_247->S92
6357.2000 M117 5000000 5 5772.2000 S59 S92 303 N S59->6T_260->S9->3_237->4_247->S92
6386.1000 M562 5000000 2 3576.1000 S147 S84 340 N S147->7_277->S84
6387.8000 M1178 5000000 3 497.8000 S57 S118 391 N S57->S108->4_247->S118
6391.1000 M583 5000000 5 3476.1000 S14 S149 342 N S14->S31->2_226->S113->7_277->S149
6444.3000 M571 5000000 2 3589.3000 S74 S119 340 N S74->2_225->S119
6467.9000 M539 5000000 2 3772.9000 S156 S47 337 N S156->2_225->S47
6468.9000 M783 5000000 4 2553.9000 S170 S31 357 N S170->7_277->S161->2_227->S31
6472.9000 M220 5000000 4 5372.9000 S127 S211 310 N S127->4_247->S8->2_225->S211
6473.9000 M859 5000000 4 2178.9000 S201 S31 363 N S201->7_277->S161->2_227->S31
6497.6000 M854 5000000 2 2227.6000 S77 S27 362 N S77->2_224->S27
6531.9000 M460 5000000 2 4231.9000 S103 S199 329 N S103->4_245->S199
6563.5000 M954 5000000 2 1793.5000 S103 S109 370 N S103->4_245->S109
6564.2000 M870 5000000 2 2214.2000 S67 S75 363 N S67->7_277->S75
6568.5000 M603 5000000 3 3553.5000 S133 S109 340 N S133->S103->4_245->S109
6569.2000 M818 5000000 2 2479.2000 S39 S97 358 N S39->7_277->S97
6574.2000 M1151 5000000 2 819.2000 S96 S148 386 N S96->7_277->S148
6630.0000 M843 5000000 3 2415.0000 S5 S42 359 N S5->S93->9_305->S42
6635.0000 M595 5000000 4 3660.0000 S39 S59 339 N S39->7_275->S154->9_305->S59
6640.0000 M232 5000000 5 5480.0000 S102 S59 308 N S102->S64->2_226->S20->9_305->S59
6652.0000 M425 5000000 4 4527.0000 S168 S114 324 N S168->7_278->S132->2_225->S114
6657.0000 M986 5000000 2 1727.0000 S113 S192 371 N S113->2_225->S192
6680.4000 M1054 5000000 2 1410.4000 S81 S100 376 N S81->7_279->S100
6690.0000 M1322 5000000 2 80.0000 S93 S112 398 N S93->9_305->S112
