# time  ID  size  fromHost  toHost  TTL  isResponse
810.0000 M270 1000000 S157 S199 600 N 
813.0000 M271 1000000 S204 S168 600 N 
816.0000 M272 1000000 S163 S96 600 N 
819.0000 M273 1000000 S130 S45 600 N 
822.0000 M274 1000000 S106 S134 600 N 
825.0000 M275 1000000 S14 S134 600 N 
828.0000 M276 1000000 S17 S107 600 N 
831.0000 M277 1000000 S154 S56 600 N 
834.0000 M278 1000000 S22 S82 600 N 
837.0000 M279 1000000 S162 S101 600 N 
840.0000 M280 1000000 S18 S81 600 N 
843.0000 M281 1000000 S80 S171 600 N 
846.0000 M282 1000000 S16 S89 600 N 
849.0000 M283 1000000 S169 S171 600 N 
852.0000 M284 1000000 S17 S51 600 N 
855.0000 M285 1000000 S104 S149 600 N 
858.0000 M286 1000000 S96 S149 600 N 
861.0000 M287 1000000 S206 S86 600 N 
864.0000 M288 1000000 S11 S67 600 N 
867.0000 M289 1000000 S192 S102 600 N 
870.0000 M290 1000000 S45 S114 600 N 
873.0000 M291 1000000 S70 S120 600 N 
876.0000 M292 1000000 S203 S72 600 N 
879.0000 M293 1000000 S107 S204 600 N 
882.0000 M294 1000000 S163 S175 600 N 
885.0000 M295 1000000 S71 S12 600 N 
888.0000 M296 1000000 S20 S46 600 N 
891.0000 M297 1000000 S89 S150 600 N 
894.0000 M298 1000000 S15 S105 600 N 
897.0000 M299 1000000 S93 S31 600 N 
900.0000 M300 1000000 S36 S49 600 N 
903.0000 M301 1000000 S3 S158 600 N 
906.0000 M302 1000000 S71 S138 600 N 
909.0000 M303 1000000 S177 S124 600 N 
912.0000 M304 1000000 S71 S157 600 N 
915.0000 M305 1000000 S38 S11 600 N 
918.0000 M306 1000000 S89 S201 600 N 
921.0000 M307 1000000 S192 S187 600 N 
924.0000 M308 1000000 S166 S189 600 N 
927.0000 M309 1000000 S159 S104 600 N 
930.0000 M310 1000000 S24 S63 600 N 
933.0000 M311 1000000 S1 S97 600 N 
936.0000 M312 1000000 S132 S190 600 N 
939.0000 M313 1000000 S55 S83 600 N 
942.0000 M314 1000000 S61 S37 600 N 
945.0000 M315 1000000 S17 S194 600 N 
948.0000 M316 1000000 S123 S78 600 N 
951.0000 M317 1000000 S158 S30 600 N 
954.0000 M318 1000000 S122 S181 600 N 
957.0000 M319 1000000 S114 S190 600 N 
960.0000 M320 1000000 S187 S108 600 N 
963.0000 M321 1000000 S202 S200 600 N 
966.0000 M322 1000000 S92 S160 600 N 
969.0000 M323 1000000 S149 S193 600 N 
972.0000 M324 1000000 S96 S123 600 N 
975.0000 M325 1000000 S142 S187 600 N 
978.0000 M326 1000000 S2 S46 600 N 
981.0000 M327 1000000 S108 S124 600 N 
984.0000 M328 1000000 S70 S161 600 N 
987.0000 M329 1000000 S134 S9 600 N 
990.0000 M330 1000000 S135 S68 600 N 
993.0000 M331 1000000 S106 S96 600 N 
996.0000 M332 1000000 S125 S87 600 N 
999.0000 M333 1000000 S42 S125 600 N 
1002.0000 M334 1000000 S125 S77 600 N 
1005.0000 M335 1000000 S56 S43 600 N 
1008.0000 M336 1000000 S38 S184 600 N 
1011.0000 M337 1000000 S197 S141 600 N 
1014.0000 M338 1000000 S187 S93 600 N 
1017.0000 M339 1000000 S151 S95 600 N 
1020.0000 M340 1000000 S179 S201 600 N 
1023.0000 M341 1000000 S128 S9 600 N 
1026.0000 M342 1000000 S60 S41 600 N 
1029.0000 M343 1000000 S53 S38 600 N 
1032.0000 M344 1000000 S78 S171 600 N 
1035.0000 M345 1000000 S5 S82 600 N 
1038.0000 M346 1000000 S126 S145 600 N 
1041.0000 M347 1000000 S119 S201 600 N 
1044.0000 M348 1000000 S0 S111 600 N 
1047.0000 M349 1000000 S183 S126 600 N 
1050.0000 M350 1000000 S94 S1 600 N 
1053.0000 M351 1000000 S210 S39 600 N 
1056.0000 M352 1000000 S106 S30 600 N 
1059.0000 M353 1000000 S201 S38 600 N 
1062.0000 M354 1000000 S135 S127 600 N 
1065.0000 M355 1000000 S118 S167 600 N 
1068.0000 M356 1000000 S151 S118 600 N 
1071.0000 M357 1000000 S26 S118 600 N 
1074.0000 M358 1000000 S11 S54 600 N 
1077.0000 M359 1000000 S165 S166 600 N 
1080.0000 M360 1000000 S155 S132 600 N 
1083.0000 M361 1000000 S112 S55 600 N 
1086.0000 M362 1000000 S44 S198 600 N 
1089.0000 M363 1000000 S125 S196 600 N 
1092.0000 M364 1000000 S105 S131 600 N 
1095.0000 M365 1000000 S114 S196 600 N 
1098.0000 M366 1000000 S48 S80 600 N 
1101.0000 M367 1000000 S135 S53 600 N 
1104.0000 M368 1000000 S210 S153 600 N 
1107.0000 M369 1000000 S63 S130 600 N 
1110.0000 M370 1000000 S177 S85 600 N 
1113.0000 M371 1000000 S69 S19 600 N 
1116.0000 M372 1000000 S58 S101 600 N 
1119.0000 M373 1000000 S162 S46 600 N 
1122.0000 M374 1000000 S147 S185 600 N 
1125.0000 M375 1000000 S112 S124 600 N 
1128.0000 M376 1000000 S40 S50 600 N 
1131.0000 M377 1000000 S154 S144 600 N 
1134.0000 M378 1000000 S63 S146 600 N 
1137.0000 M379 1000000 S111 S62 600 N 
1140.0000 M380 1000000 S89 S141 600 N 
1143.0000 M381 1000000 S123 S181 600 N 
1146.0000 M382 1000000 S4 S138 600 N 
1149.0000 M383 1000000 S45 S140 600 N 
1152.0000 M384 1000000 S77 S102 600 N 
1155.0000 M385 1000000 S206 S65 600 N 
1158.0000 M386 1000000 S102 S63 600 N 
1161.0000 M387 1000000 S29 S67 600 N 
1164.0000 M388 1000000 S22 S183 600 N 
1167.0000 M389 1000000 S31 S175 600 N 
1170.0000 M390 1000000 S41 S158 600 N 
1173.0000 M391 1000000 S183 S98 600 N 
1176.0000 M392 1000000 S170 S94 600 N 
1179.0000 M393 1000000 S38 S184 600 N 
1182.0000 M394 1000000 S207 S67 600 N 
1185.0000 M395 1000000 S82 S24 600 N 
1188.0000 M396 1000000 S185 S176 600 N 
1191.0000 M397 1000000 S20 S14 600 N 
1194.0000 M398 1000000 S6 S130 600 N 
1197.0000 M399 1000000 S141 S87 600 N 
1200.0000 M400 1000000 S62 S95 600 N 
1203.0000 M401 1000000 S53 S154 600 N 
1206.0000 M402 1000000 S138 S171 600 N 
1209.0000 M403 1000000 S189 S57 600 N 
1212.0000 M404 1000000 S135 S55 600 N 
1215.0000 M405 1000000 S42 S136 600 N 
1218.0000 M406 1000000 S201 S130 600 N 
1221.0000 M407 1000000 S69 S103 600 N 
1224.0000 M408 1000000 S112 S74 600 N 
1227.0000 M409 1000000 S37 S98 600 N 
1230.0000 M410 1000000 S93 S187 600 N 
1233.0000 M411 1000000 S211 S54 600 N 
1236.0000 M412 1000000 S105 S111 600 N 
1239.0000 M413 1000000 S201 S72 600 N 
1242.0000 M414 1000000 S152 S178 600 N 
1245.0000 M415 1000000 S127 S126 600 N 
1248.0000 M416 1000000 S13 S109 600 N 
1251.0000 M417 1000000 S158 S47 600 N 
1254.0000 M418 1000000 S210 S113 600 N 
1257.0000 M419 1000000 S133 S96 600 N 
1260.0000 M420 1000000 S83 S98 600 N 
1263.0000 M421 1000000 S29 S181 600 N 
1266.0000 M422 1000000 S211 S201 600 N 
1269.0000 M423 1000000 S162 S156 600 N 
1272.0000 M424 1000000 S156 S49 600 N 
1275.0000 M425 1000000 S168 S114 600 N 
1278.0000 M426 1000000 S123 S136 600 N 
1281.0000 M427 1000000 S96 S140 600 N 
1284.0000 M428 1000000 S201 S43 600 N 
1287.0000 M429 1000000 S47 S117 600 N 
1290.0000 M430 1000000 S186 S92 600 N 
1293.0000 M431 1000000 S4 S7 600 N 
1296.0000 M432 1000000 S82 S2 600 N 
1299.0000 M433 1000000 S145 S136 600 N 
1302.0000 M434 1000000 S177 S125 600 N 
1305.0000 M435 1000000 S176 S100 600 N 
1308.0000 M436 1000000 S95 S131 600 N 
1311.0000 M437 1000000 S143 S159 600 N 
1314.0000 M438 1000000 S150 S42 600 N 
1317.0000 M439 1000000 S175 S128 600 N 
1320.0000 M440 1000000 S138 S11 600 N 
1323.0000 M441 1000000 S208 S55 600 N 
1326.0000 M442 1000000 S114 S78 600 N 
1329.0000 M443 1000000 S189 S23 600 N 
1332.0000 M444 1000000 S149 S18 600 N 
1335.0000 M445 1000000 S183 S88 600 N 
1338.0000 M446 1000000 S180 S25 600 N 
1341.0000 M447 1000000 S84 S66 600 N 
1344.0000 M448 1000000 S161 S156 600 N 
1347.0000 M449 1000000 S56 S52 600 N 
1350.0000 M450 1000000 S140 S105 600 N 
1353.0000 M451 1000000 S185 S205 600 N 
1356.0000 M452 1000000 S17 S134 600 N 
1359.0000 M453 1000000 S195 S12 600 N 
1362.0000 M454 1000000 S148 S117 600 N 
1365.0000 M455 1000000 S156 S57 600 N 
1368.0000 M456 1000000 S30 S3 600 N 
1371.0000 M457 1000000 S74 S66 600 N 
1374.0000 M458 1000000 S12 S127 600 N 
1377.0000 M459 1000000 S183 S24 600 N 
1380.0000 M460 1000000 S103 S199 600 N 
1383.0000 M461 1000000 S93 S100 600 N 
1386.0000 M462 1000000 S191 S8 600 N 
1389.0000 M463 1000000 S135 S159 600 N 
1392.0000 M464 1000000 S177 S64 600 N 
1395.0000 M465 1000000 S58 S38 600 N 
1398.0000 M466 1000000 S21 S194 600 N 
1401.0000 M467 1000000 S116 S50 600 N 
1404.0000 M468 1000000 S47 S176 600 N 
1407.0000 M469 1000000 S192 S180 600 N 
1410.0000 M470 1000000 S57 S103 600 N 
1413.0000 M471 1000000 S13 S73 600 N 
1416.0000 M472 1000000 S7 S66 600 N 
1419.0000 M473 1000000 S61 S189 600 N 
1422.0000 M474 1000000 S32 S22 600 N 
1425.0000 M475 1000000 S6 S193 600 N 
1428.0000 M476 1000000 S108 S188 600 N 
1431.0000 M477 1000000 S73 S204 600 N 
1434.0000 M478 1000000 S75 S180 600 N 
1437.0000 M479 1000000 S85 S51 600 N 
1440.0000 M480 1000000 S6 S157 600 N 
1443.0000 M481 1000000 S155 S119 600 N 
1446.0000 M482 1000000 S92 S105 600 N 
1449.0000 M483 1000000 S160 S117 600 N 
1452.0000 M484 1000000 S48 S186 600 N 
1455.0000 M485 1000000 S70 S121 600 N 
1458.0000 M486 1000000 S108 S121 600 N 
1461.0000 M487 1000000 S150 S153 600 N 
1464.0000 M488 1000000 S22 S18 600 N 
1467.0000 M489 1000000 S10 S172 600 N 
1470.0000 M490 1000000 S69 S48 600 N 
1473.0000 M491 1000000 S59 S118 600 N 
1476.0000 M492 1000000 S129 S40 600 N 
1479.0000 M493 1000000 S14 S179 600 N 
1482.0000 M494 1000000 S167 S1 600 N 
1485.0000 M495 1000000 S184 S129 600 N 
1488.0000 M496 1000000 S197 S174 600 N 
1491.0000 M497 1000000 S17 S70 600 N 
1494.0000 M498 1000000 S202 S155 600 N 
1497.0000 M499 1000000 S53 S140 600 N 
1500.0000 M500 1000000 S70 S210 600 N 
1503.0000 M501 1000000 S87 S86 600 N 
1506.0000 M502 1000000 S170 S109 600 N 
1509.0000 M503 1000000 S189 S154 600 N 
1512.0000 M504 1000000 S126 S184 600 N 
1515.0000 M505 1000000 S29 S135 600 N 
1518.0000 M506 1000000 S97 S14 600 N 
1521.0000 M507 1000000 S62 S91 600 N 
1524.0000 M508 1000000 S123 S6 600 N 
1527.0000 M509 1000000 S202 S110 600 N 
1530.0000 M510 1000000 S155 S165 600 N 
1533.0000 M511 1000000 S36 S7 600 N 
1536.0000 M512 1000000 S60 S92 600 N 
1539.0000 M513 1000000 S69 S84 600 N 
1542.0000 M514 1000000 S21 S127 600 N 
1545.0000 M515 1000000 S192 S108 600 N 
1548.0000 M516 1000000 S79 S117 600 N 
1551.0000 M517 1000000 S18 S64 600 N 
1554.0000 M518 1000000 S180 S59 600 N 
1557.0000 M519 1000000 S177 S124 600 N 
1560.0000 M520 1000000 S66 S104 600 N 
1563.0000 M521 1000000 S136 S60 600 N 
1566.0000 M522 1000000 S113 S2 600 N 
1569.0000 M523 1000000 S74 S90 600 N 
1572.0000 M524 1000000 S101 S14 600 N 
1575.0000 M525 1000000 S66 S181 600 N 
1578.0000 M526 1000000 S82 S54 600 N 
1581.0000 M527 1000000 S111 S206 600 N 
1584.0000 M528 1000000 S142 S200 600 N 
1587.0000 M529 1000000 S18 S130 600 N 
1590.0000 M530 1000000 S37 S95 600 N 
1593.0000 M531 1000000 S74 S206 600 N 
1596.0000 M532 1000000 S0 S57 600 N 
1599.0000 M533 1000000 S185 S69 600 N 
1602.0000 M534 1000000 S170 S59 600 N 
1605.0000 M535 1000000 S181 S57 600 N 
1608.0000 M536 1000000 S205 S139 600 N 
1611.0000 M537 1000000 S3 S48 600 N 
1614.0000 M538 1000000 S147 S24 600 N 
1617.0000 M539 1000000 S156 S47 600 N 
1620.0000 M540 1000000 S46 S112 600 N 
