# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5451.6000 M804 5000000 2 1431.6000 S62 S109 176 N S62->4_247->S109
5452.4000 M290 5000000 5 4002.4000 S45 S114 133 N S45->4_247->S134->S113->2_226->S114
5531.8000 M891 5000000 2 1076.8000 S90 S33 182 N S90->7_277->S33
5545.4000 M90 5000000 4 5095.4000 S14 S0 115 N S14->4_244->S151->7_275->S0
5593.8000 M797 5000000 2 1608.8000 S67 S154 173 N S67->7_277->S154
5604.7000 M962 5000000 2 794.7000 S158 S155 186 N S158->9_308->S155
5618.1000 M693 5000000 3 2153.1000 S0 S3 164 N S0->S50->7_276->S3
5658.4000 M793 5000000 2 1693.4000 S88 S55 171 N S88->7_277->S55
5665.5000 M785 5000000 2 1740.5000 S129 S100 170 N S129->9_307->S100
5670.1000 M560 5000000 3 2870.1000 S104 S8 152 N S104->S55->3_237->S8
5672.5000 M942 5000000 2 962.5000 S19 S61 183 N S19->4_245->S61
5684.0000 M492 5000000 5 3224.0000 S129 S40 146 N S129->9_305->S142->S155->7_276->S40
5684.7000 M544 5000000 2 2964.7000 S135 S134 150 N S135->2_227->S134
5698.0000 M446 5000000 2 3468.0000 S180 S25 142 N S180->4_246->S25
5754.9000 M766 5000000 2 1924.9000 S57 S138 167 N S57->4_246->S138
5779.1000 M615 5000000 3 2704.1000 S154 S22 154 N S154->S9->3_237->S22
5784.1000 M618 5000000 3 2694.1000 S51 S89 155 N S51->S121->3_237->S89
5792.9000 M172 5000000 2 4932.9000 S72 S173 117 N S72->2_226->S173
5803.9000 M825 5000000 5 1678.9000 S27 S137 172 N S27->2_226->S64->S102->2_227->S137
5834.8000 M727 5000000 2 2199.8000 S168 S96 163 N S168->9_308->S96
5865.5000 M953 5000000 2 1100.5000 S133 S187 181 N S133->4_247->S187
5867.2000 M792 5000000 3 1907.2000 S0 S205 168 N S0->S50->7_276->S205
5870.5000 M856 5000000 2 1590.5000 S111 S187 173 N S111->4_247->S187
5901.4000 M6 5000000 7 5871.4000 S47 S183 102 N S47->S94->3_234->S119->6T_260->S90->7_277->S183
5955.2000 M759 5000000 2 2160.2000 S44 S113 163 N S44->4_245->S113
5976.8000 M372 5000000 2 4116.8000 S58 S101 131 N S58->3_237->S101
5979.7000 M130 5000000 4 5329.7000 S18 S14 111 N S18->S86->3_237->4_247->S14
5980.9000 M1037 5000000 2 795.9000 S33 S194 186 N S33->7_276->S194
5993.2000 M826 5000000 2 1863.2000 S156 S102 168 N S156->2_225->S102
6014.1000 M728 5000000 6 2374.1000 S168 S67 160 N S168->9_308->S205->7_277->S39->7_276->S67
6111.7000 M839 5000000 2 1916.7000 S77 S141 168 N S77->2_224->S141
6116.7000 M317 5000000 4 4531.7000 S158 S30 124 N S158->9_306->S7->2_224->S30
6135.4000 M488 5000000 3 3695.4000 S22 S18 138 N S22->S89->3_237->S18
6232.3000 M1055 5000000 2 957.3000 S145 S47 184 N S145->9_305->S47
6234.4000 M381 5000000 5 4329.4000 S123 S181 127 N S123->S127->4_246->S8->2_225->S181
6238.1000 M978 5000000 2 1348.1000 S24 S150 177 N S24->3_237->S150
6239.4000 M628 5000000 3 3099.4000 S136 S74 148 N S136->S197->2_225->S74
