/root/the-one-transit/reports/helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'ProphetV2Router', 'Group.bufferSize': '1000G', 'Group.msgTtl': '800', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '5', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.6', 'ProphetV2Router.gamma': '1.0', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '3'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 1/144
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3'
20025.4 29572: 0.37 1/s
20085.6 29591: 0.32 1/s
20145.7 29608: 0.29 1/s
20205.7 29628: 0.33 1/s
20265.9 29646: 0.30 1/s
20326.1 29664: 0.31 1/s
20386.1 29683: 0.32 1/s
20446.3 29702: 0.30 1/s
20506.6 29720: 0.30 1/s
20566.8 29738: 0.29 1/s
20627.0 29757: 0.32 1/s
20687.2 29776: 0.32 1/s
20747.3 29796: 0.33 1/s
20807.6 29814: 0.31 1/s
20867.6 29832: 0.29 1/s
20927.9 29849: 0.29 1/s
20988.1 29867: 0.30 1/s
21048.5 29885: 0.29 1/s
21108.5 29900: 0.26 1/s
21168.5 29919: 0.30 1/s
21228.6 29937: 0.31 1/s
21288.6 29955: 0.30 1/s
21348.8 29975: 0.32 1/s
21408.8 29993: 0.31 1/s
21468.9 30012: 0.31 1/s
21529.2 30030: 0.31 1/s
21589.4 30050: 0.32 1/s
21649.5 30067: 0.28 1/s
21709.7 30083: 0.27 1/s
21769.9 30102: 0.30 1/s
21830.2 30119: 0.29 1/s
21890.3 30137: 0.30 1/s
21950.6 30158: 0.34 1/s
22010.9 30177: 0.31 1/s
22071.1 30195: 0.30 1/s
22131.2 30213: 0.31 1/s
22191.3 30232: 0.32 1/s
22251.3 30248: 0.26 1/s
22311.4 30264: 0.27 1/s
22371.6 30284: 0.32 1/s
22431.7 30302: 0.30 1/s
22492.0 30318: 0.28 1/s
22552.2 30337: 0.30 1/s
22612.4 30356: 0.32 1/s
22672.6 30374: 0.30 1/s
22732.7 30393: 0.31 1/s
22792.8 30411: 0.30 1/s
22853.0 30428: 0.27 1/s
22913.3 30445: 0.28 1/s
22973.3 30462: 0.29 1/s
23033.5 30479: 0.28 1/s
23093.6 30495: 0.27 1/s
23153.8 30512: 0.28 1/s
23214.0 30531: 0.31 1/s
23274.3 30549: 0.30 1/s
23334.5 30567: 0.30 1/s
23394.8 30586: 0.31 1/s
23457.0 30602: 0.27 1/s
23517.3 30620: 0.29 1/s
23577.6 30640: 0.33 1/s
23637.9 30657: 0.30 1/s
23698.2 30674: 0.27 1/s
23758.2 30691: 0.28 1/s
23818.3 30708: 0.29 1/s
23878.7 30724: 0.27 1/s
23938.7 30739: 0.24 1/s
23999.0 30758: 0.33 1/s
24059.3 30777: 0.31 1/s
24119.5 30796: 0.31 1/s
24179.7 30813: 0.29 1/s
24239.8 30832: 0.32 1/s
24300.0 30849: 0.28 1/s
24360.1 30866: 0.28 1/s
24420.3 30884: 0.30 1/s
24480.3 30901: 0.29 1/s
24540.4 30917: 0.27 1/s
24601.0 30935: 0.29 1/s
24661.3 30953: 0.30 1/s
24721.5 30971: 0.29 1/s
24781.8 30989: 0.30 1/s
24841.9 31006: 0.29 1/s
24902.2 31022: 0.27 1/s
24962.5 31039: 0.27 1/s
25022.5 31055: 0.27 1/s
25082.6 31073: 0.30 1/s
25142.7 31090: 0.28 1/s
25203.0 31107: 0.28 1/s
25263.2 31125: 0.31 1/s
25323.3 31143: 0.29 1/s
25383.4 31159: 0.26 1/s
25443.5 31176: 0.29 1/s
25503.5 31194: 0.30 1/s
25563.8 31211: 0.28 1/s
25624.0 31229: 0.30 1/s
25684.0 31246: 0.28 1/s
25744.4 31262: 0.27 1/s
25804.6 31278: 0.26 1/s
25864.8 31296: 0.29 1/s
25924.9 31314: 0.30 1/s
25985.2 31331: 0.28 1/s
26045.2 31349: 0.31 1/s
26105.4 31371: 0.36 1/s
26165.7 31390: 0.30 1/s
26225.9 31407: 0.28 1/s
26286.1 31426: 0.32 1/s
26346.2 31443: 0.29 1/s
26406.3 31460: 0.28 1/s
26466.5 31478: 0.30 1/s
26526.6 31496: 0.29 1/s
26586.7 31512: 0.27 1/s
26646.7 31527: 0.25 1/s
26707.0 31544: 0.28 1/s
26767.1 31561: 0.28 1/s
26827.1 31578: 0.28 1/s
26887.1 31596: 0.31 1/s
26947.1 31614: 0.30 1/s
27007.3 31631: 0.28 1/s
27067.3 31646: 0.25 1/s
27127.5 31663: 0.28 1/s
27187.6 31679: 0.27 1/s
27247.6 31695: 0.26 1/s
27307.8 31711: 0.27 1/s
27368.0 31729: 0.30 1/s
27428.3 31747: 0.30 1/s
27488.5 31764: 0.29 1/s
27548.7 31782: 0.29 1/s
27608.9 31799: 0.29 1/s
27669.0 31817: 0.29 1/s
27729.3 31834: 0.29 1/s
27789.5 31853: 0.31 1/s
27849.9 31869: 0.27 1/s
27910.1 31886: 0.27 1/s
27970.2 31903: 0.29 1/s
28030.5 31920: 0.28 1/s
28090.5 31937: 0.28 1/s
28150.5 31956: 0.31 1/s
28210.8 31975: 0.32 1/s
28270.8 31992: 0.28 1/s
28331.0 32008: 0.27 1/s
28391.1 32026: 0.30 1/s
28451.2 32043: 0.28 1/s
28511.5 32059: 0.27 1/s
28572.0 32075: 0.27 1/s
28632.1 32093: 0.30 1/s
28692.3 32110: 0.28 1/s
28752.9 32125: 0.25 1/s
28813.0 32143: 0.30 1/s
28873.1 32161: 0.29 1/s
28933.4 32177: 0.27 1/s
28993.4 32194: 0.28 1/s
29053.4 32211: 0.29 1/s
29113.5 32227: 0.27 1/s
29173.5 32243: 0.26 1/s
29233.9 32259: 0.27 1/s
29294.0 32275: 0.27 1/s
29354.4 32291: 0.27 1/s
29414.5 32307: 0.27 1/s
29474.8 32325: 0.30 1/s
29534.8 32342: 0.28 1/s
29594.9 32359: 0.28 1/s
29655.0 32377: 0.29 1/s
29715.4 32393: 0.28 1/s
29775.4 32410: 0.27 1/s
29835.6 32426: 0.26 1/s
29895.6 32443: 0.30 1/s
29955.8 32460: 0.28 1/s
30016.0 32476: 0.26 1/s
30076.3 32492: 0.27 1/s
30136.6 32510: 0.30 1/s
30196.7 32526: 0.26 1/s
30256.7 32543: 0.28 1/s
30317.0 32561: 0.30 1/s
30377.1 32579: 0.29 1/s
30437.5 32595: 0.28 1/s
30497.7 32612: 0.27 1/s
30557.9 32630: 0.29 1/s
30618.0 32646: 0.27 1/s
30678.1 32662: 0.27 1/s
30738.3 32678: 0.27 1/s
30798.6 32695: 0.29 1/s
30860.8 32711: 0.26 1/s
30921.0 32726: 0.25 1/s
30981.1 32742: 0.27 1/s
31041.3 32756: 0.24 1/s
31101.5 32771: 0.25 1/s
31161.8 32788: 0.28 1/s
31222.1 32806: 0.30 1/s
31282.2 32821: 0.26 1/s
31342.4 32837: 0.26 1/s
31402.7 32852: 0.24 1/s
31462.9 32869: 0.28 1/s
31523.2 32884: 0.26 1/s
31583.6 32900: 0.25 1/s
31643.6 32915: 0.26 1/s
31703.8 32931: 0.26 1/s
31764.1 32948: 0.28 1/s
31824.2 32965: 0.29 1/s
31884.4 32983: 0.29 1/s
31944.5 32999: 0.27 1/s
32004.6 33015: 0.26 1/s
32064.7 33031: 0.26 1/s
32125.0 33048: 0.29 1/s
32185.3 33063: 0.24 1/s
32245.6 33078: 0.25 1/s
32305.6 33093: 0.25 1/s
32365.8 33108: 0.25 1/s
32426.2 33124: 0.25 1/s
32486.4 33140: 0.27 1/s
32546.7 33157: 0.29 1/s
32607.0 33175: 0.29 1/s
32667.7 33190: 0.26 1/s
32727.7 33205: 0.24 1/s
32787.8 33222: 0.29 1/s
32848.1 33239: 0.29 1/s
32908.4 33255: 0.25 1/s
32968.7 33270: 0.25 1/s
33031.3 33285: 0.24 1/s
33091.6 33301: 0.27 1/s
33151.7 33316: 0.25 1/s
33211.9 33331: 0.25 1/s
33272.1 33347: 0.27 1/s
33333.5 33363: 0.25 1/s
33393.7 33378: 0.26 1/s
33453.8 33394: 0.26 1/s
33514.2 33411: 0.27 1/s
33574.3 33425: 0.24 1/s
33634.6 33439: 0.23 1/s
33694.7 33454: 0.24 1/s
33755.1 33469: 0.25 1/s
